image           segment rate
6.tif        0.824306488037
12.tif        0.896671295166
18.tif        0.879806518555
24.tif        0.514568328857
30.tif        0.979663848877
36.tif        0.909660339355
42.tif        0.854888916016
48.tif        0.827438354492
54.tif        0.927734375
60.tif        0.827823638916
66.tif        0.668933868408
72.tif        0.415843963623
78.tif        0.636363983154
84.tif        0.514739990234
90.tif        0.583930969238
96.tif        0.710391998291
102.tif        0.662616729736
108.tif        0.478958129883
114.tif        0.505214691162
120.tif        0.590400695801
126.tif        0.0249519348145
132.tif        0.595119476318
138.tif        0.815299987793
144.tif        0.863967895508
150.tif        0.965137481689
156.tif        0.726005554199
162.tif        0.672687530518
168.tif        0.796035766602
174.tif        0.766750335693
180.tif        0.929405212402
186.tif        0.817951202393
192.tif        0.466583251953
198.tif        0.808822631836
204.tif        0.928848266602
210.tif        0.830909729004
216.tif        0.897121429443
222.tif        0.674461364746
228.tif        0.828563690186
234.tif        0.811294555664
240.tif        0.285133361816
246.tif        0.379238128662
252.tif        0.861000061035
258.tif        0.897228240967
264.tif        0.908512115479
270.tif        0.868957519531
276.tif        0.781620025635
282.tif        0.667858123779
288.tif        0.649314880371
294.tif        0.716163635254
300.tif        0.714572906494
306.tif        0.849502563477
312.tif        0.897811889648
318.tif        0.390689849854
324.tif        0.830669403076
330.tif        0.851135253906
336.tif        0.779708862305
342.tif        0.904273986816
348.tif        0.921783447266
354.tif        0.938953399658
360.tif        0.812072753906
366.tif        0.823783874512
372.tif        0.65922164917
378.tif        0.811187744141
384.tif        0.768173217773
390.tif        0.885917663574
396.tif        0.958965301514
402.tif        0.874649047852
408.tif        0.23804473877
414.tif        0.146602630615
420.tif        0.738452911377
426.tif        0.902877807617
432.tif        0.933788299561
438.tif        0.933727264404
444.tif        0.670001983643
450.tif        0.77897644043
456.tif        0.32678604126
462.tif        0.854400634766
468.tif        0.960865020752
474.tif        0.431770324707
480.tif        0.733543395996
486.tif        0.853549957275
492.tif        0.461696624756
498.tif        0.239177703857
504.tif        0.948490142822
510.tif        0.907878875732
516.tif        0.973217010498
522.tif        0.679012298584
528.tif        0.78967666626
534.tif        0.773628234863
540.tif        0.861961364746
546.tif        0.921333312988
552.tif        0.898658752441
558.tif        0.526836395264
564.tif        0.387195587158
570.tif        0.575679779053
576.tif        0.263534545898
582.tif        0.548370361328
588.tif        0.711563110352
594.tif        0.716121673584
600.tif        0.920337677002
606.tif        0.71626663208
612.tif        0.685558319092
618.tif        0.746059417725
624.tif        0.630966186523
630.tif        0.778869628906
636.tif        0.900512695312
642.tif        0.670379638672
648.tif        0.738796234131
654.tif        0.868598937988
660.tif        0.831588745117
666.tif        0.877246856689
672.tif        0.752449035645
678.tif        0.970855712891
684.tif        0.885723114014
690.tif        0.899478912354
696.tif        0.71049118042
702.tif        0.458827972412
708.tif        0.88264465332
714.tif        0.931621551514
720.tif        0.847896575928
726.tif        0.625885009766
732.tif        0.602615356445
738.tif        0.931884765625
744.tif        0.945190429688
750.tif        0.758041381836
756.tif        0.835315704346
762.tif        0.780651092529
768.tif        0.889923095703
774.tif        0.798126220703
780.tif        0.463436126709
786.tif        0.84033203125
792.tif        0.293395996094
798.tif        0.82820892334
804.tif        0.541118621826
810.tif        0.937377929688
816.tif        0.83996963501
822.tif        0.401584625244
828.tif        0.870121002197
834.tif        0.336181640625
840.tif        0.888984680176
846.tif        0.960487365723
852.tif        0.722785949707
858.tif        0.814788818359
864.tif        0.706840515137
870.tif        0.858043670654
876.tif        0.953609466553
882.tif        0.861698150635
888.tif        0.95240020752
894.tif        0.675720214844
900.tif        0.849636077881
906.tif        0.963199615479
912.tif        0.668308258057
918.tif        0.388423919678
924.tif        0.741790771484
930.tif        0.643653869629
936.tif        0.822898864746
942.tif        0.641246795654
948.tif        0.760478973389
954.tif        0.311508178711
960.tif        0.683986663818
966.tif        0.789119720459
972.tif        0.907287597656
978.tif        0.531967163086
984.tif        0.504093170166
990.tif        0.790233612061
996.tif        0.356857299805
1002.tif        0.0
1008.tif        0.803760528564
1014.tif        0.688732147217
1020.tif        0.98318862915
1026.tif        0.823291778564
1032.tif        0.803524017334
1038.tif        0.875377655029
1044.tif        0.977981567383
1050.tif        0.987339019775
1056.tif        0.944744110107
1062.tif        0.757629394531
1068.tif        0.459880828857
1074.tif        0.67919921875
1080.tif        0.488998413086
1086.tif        0.794162750244
1092.tif        0.910926818848
1098.tif        0.79532623291
1104.tif        0.559543609619
1110.tif        0.591472625732
1116.tif        0.593235015869
1122.tif        0.470397949219
1128.tif        0.509212493896
1134.tif        0.753463745117
1140.tif        0.752174377441
1146.tif        0.642646789551
1152.tif        0.626502990723
1158.tif        0.852470397949
1164.tif        0.414630889893
1170.tif        0.83472442627
1176.tif        0.894947052002
1182.tif        0.399166107178
1188.tif        0.824813842773
1194.tif        0.722724914551
1200.tif        0.678508758545
1206.tif        0.912570953369
1212.tif        0.974426269531
1218.tif        0.927494049072
1224.tif        0.843822479248
1230.tif        0.783458709717
1236.tif        0.633701324463
1242.tif        0.803733825684
1248.tif        0.701553344727
1254.tif        0.596305847168
1260.tif        0.824394226074
1266.tif        0.819286346436
1272.tif        0.568840026855
1278.tif        0.996040344238
